tconst,knownForTitles,nconst,titre,annee,genres,isAdult,note,personne,job,genre_principal,numVotes,decennie,nb_films
tt6751668,"tt3303730,tt2544120,tt6751668,tt1905059",nm1856097,Parasite,2019,"Drama,Thriller",0,8.5,Cho Yeo-jeong,actress,Drama,838565.0,2010,4.0
tt4154796,"tt1100089,tt1895587,tt0842926,tt0848228",nm0749263,Avengers: Endgame,2019,"Action,Adventure,Drama",0,8.4,Mark Ruffalo,actor,Action,1163668.0,2010,4.0
tt8946378,"tt1856101,tt8946378,tt1655389,tt2382320",nm1869101,À couteaux tirés,2019,"Comedy,Crime,Drama",0,7.9,Ana de Armas,actress,Comedy,718547.0,2010,4.0
tt7286456,"tt1798709,tt1560747,tt0358273,tt0172495",nm0001618,Joker,2019,"Crime,Drama,Thriller",0,8.4,Joaquin Phoenix,actor,Crime,1332870.0,2010,4.0
tt4154756,"tt3498820,tt2395427,tt0458339,tt0848228",nm0262635,Avengers: Infinity War,2018,"Action,Adventure,Sci-Fi",0,8.4,Chris Evans,actor,Action,1108558.0,2010,4.0
tt1825683,"tt1825683,tt9114286,tt4154756,tt0857191",nm1775091,Black Panther,2018,"Action,Adventure,Sci-Fi",0,7.3,Danai Gurira,actress,Action,795472.0,2010,4.0
tt1431045,"tt7125860,tt1431045,tt1760967,tt0437086",nm4534098,Deadpool,2016,"Action,Comedy",0,8.0,Ed Skrein,actor,Action,1057669.0,2010,4.0
tt2488496,"tt2527336,tt2488496,tt3402236,tt2527338",nm5397459,Star Wars : Épisode VII - Le Réveil de la Force,2015,"Action,Adventure,Sci-Fi",0,7.8,Daisy Ridley,actress,Action,942046.0,2010,4.0
tt1392190,"tt1877830,tt1840309,tt1270798,tt1392190",nm2368789,Mad Max: Fury Road,2015,"Action,Adventure,Sci-Fi",0,8.1,Zoë Kravitz,actress,Action,1021382.0,2010,4.0
tt2096673,"tt0871426,tt0072562,tt2096673,tt1266020",nm0688132,Vice-versa,2015,"Adventure,Animation,Comedy",0,8.1,Amy Poehler,actress,Adventure,729053.0,2010,4.0
tt3659388,"tt3659388,tt1502712,tt1481572,tt0822854",nm0544718,Seul sur Mars,2015,"Adventure,Drama,Sci-Fi",0,8.0,Kate Mara,actress,Adventure,871820.0,2010,4.0
tt0816692,"tt1673434,tt0816692,tt1754656,tt1457767",nm3237775,Interstellar,2014,"Adventure,Drama,Sci-Fi",0,8.6,Mackenzie Foy,actress,Adventure,1884408.0,2010,4.0
tt2015381,"tt3896198,tt0796366,tt0499549,tt2015381",nm0757855,Les Gardiens de la Galaxie,2014,"Action,Adventure,Comedy",0,8.0,Zoe Saldana,actress,Action,1197775.0,2010,4.0
tt2267998,"tt0120201,tt4834206,tt2267998,tt0460649",nm0000439,Gone Girl,2014,"Drama,Mystery,Thriller",0,8.1,Neil Patrick Harris,actor,Drama,1000910.0,2010,4.0
tt1392214,"tt1454029,tt2671706,tt8093700,tt1386697",nm0205626,Prisoners,2013,"Crime,Drama,Mystery",0,8.1,Viola Davis,actress,Crime,736554.0,2010,4.0
tt0993846,"tt1726669,tt1915581,tt1935179,tt0790636",nm0000190,Le loup de Wall Street,2013,"Biography,Comedy,Crime",0,8.2,Matthew McConaughey,actor,Biography,1446576.0,2010,4.0
tt0848228,"tt0848228,tt0887912,tt0840361,tt5362988",nm0719637,Avengers,2012,"Action,Sci-Fi",0,8.0,Jeremy Renner,actor,Action,1407555.0,2010,4.0
tt1345836,"tt0144084,tt0468569,tt0964517,tt0372784",nm0000288,The Dark Knight Rises,2012,"Action,Drama,Thriller",0,8.4,Christian Bale,actor,Action,1729218.0,2010,4.0
tt1392170,"tt1270798,tt1045658,tt1800241,tt1392170",nm2225369,Hunger Games,2012,"Action,Adventure,Sci-Fi",0,7.2,Jennifer Lawrence,actress,Action,937854.0,2010,4.0
tt1853728,"tt0993846,tt0120338,tt0407887,tt1375666",nm0000138,Django Unchained,2012,"Drama,Western",0,8.4,Leonardo DiCaprio,actor,Drama,1584818.0,2010,4.0
tt0458339,"tt0864761,tt0478970,tt1843866,tt0458339",nm2017943,Captain America: First Avenger,2011,"Action,Adventure,Sci-Fi",0,6.9,Hayley Atwell,actress,Action,858514.0,2010,4.0
tt1675434,"tt0477507,tt1288631,tt1675434,tt1605783",nm1109153,Intouchables,2011,"Biography,Comedy,Drama",0,8.5,Audrey Fleurot,actress,Biography,874386.0,2010,4.0
tt1130884,"tt1100089,tt1895587,tt0842926,tt0848228",nm0749263,Shutter Island,2010,"Mystery,Thriller",0,8.2,Mark Ruffalo,actor,Mystery,1346064.0,2010,4.0
tt1375666,"tt0467406,tt0424136,tt1877832,tt1375666",nm0680983,Inception,2010,"Action,Adventure,Sci-Fi",0,8.8,Elliot Page,actor,Action,2392554.0,2010,4.0
tt0947798,"tt0376541,tt0947798,tt0110413,tt0434409",nm0000204,Black Swan,2010,"Drama,Thriller",0,8.0,Natalie Portman,actress,Drama,782763.0,2010,4.0
tt0499549,"tt1630029,tt0800320,tt0499549,tt0438488",nm0941777,Avatar,2009,"Action,Adventure,Fantasy",0,7.9,Sam Worthington,actor,Action,1332991.0,2000,4.0
tt1049413,"tt0065314,tt0319343,tt0061619,tt1049413",nm0000799,Là-haut,2009,"Adventure,Animation,Comedy",0,8.3,Edward Asner,actor,Adventure,1060739.0,2000,4.0
tt0361748,"tt0361748,tt1532503,tt6341832,tt1670345",nm0491259,Inglourious Basterds,2009,"Adventure,Drama,War",0,8.3,Mélanie Laurent,actress,Adventure,1477965.0,2000,4.0
tt0468569,"tt0144084,tt0468569,tt0964517,tt0372784",nm0000288,The Dark Knight : Le Chevalier noir,2008,"Action,Crime,Drama",0,9.0,Christian Bale,actor,Action,2695820.0,2000,4.0
tt0910970,"tt0076759,tt1650062,tt0120915,tt0910970",nm0123785,WALL·E,2008,"Adventure,Animation,Family",0,8.4,Ben Burtt,actor,Adventure,1133726.0,2000,4.0
tt0371746,"tt1263670,tt0118715,tt1403865,tt0088172",nm0000313,Iron Man,2008,"Action,Adventure,Sci-Fi",0,7.9,Jeff Bridges,actor,Action,1074706.0,2000,4.0
tt0482571,"tt0144084,tt0468569,tt0964517,tt0372784",nm0000288,Le Prestige,2006,"Drama,Mystery,Sci-Fi",0,8.5,Christian Bale,actor,Drama,1354053.0,2000,4.0
tt0407887,"tt0407887,tt3659388,tt0119217,tt0134119",nm0000354,Les infiltrés,2006,"Crime,Drama,Thriller",0,8.5,Matt Damon,actor,Crime,1345804.0,2000,4.0
tt0372784,"tt0144084,tt0468569,tt0964517,tt0372784",nm0000288,Batman Begins,2005,"Action,Crime,Drama",0,8.2,Christian Bale,actor,Action,1492317.0,2000,4.0
