Decade,titleType,Count,numVotes,Size
1870,short,7,5861.0,3
1880,short,58,22394.0,2
1890,short,2402,315671.0,1
1890,movie,6,850.0,3
1900,short,2697,366421.0,2
1900,movie,83,3615.0,1
1910,short,2922,343849.0,3
1910,movie,1787,245204.0,2
1920,movie,3713,1997123.0,1
1920,short,2327,376515.0,3
1920,tvMovie,1,26.0,2
1930,movie,8865,6244625.0,1
1930,short,4082,629896.0,3
1930,tvMovie,15,351.0,2
1940,movie,8925,9814143.0,1
1940,short,3443,686359.0,3
1940,tvSeries,102,26380.0,2
1950,movie,12582,15962319.0,1
1950,short,3223,635727.0,3
1950,tvSeries,1036,368994.0,2
1960,movie,16758,21741218.0,1
1960,short,4223,525222.0,3
1960,tvMovie,2318,289857.0,2
1970,movie,20391,36398612.0,1
1970,short,3814,289621.0,3
1970,tvMovie,3699,697623.0,2
1980,movie,22864,68360194.0,1
1980,tvMovie,5255,912880.0,3
1980,tvSeries,4594,4155908.0,2
1990,movie,26008,150038572.0,1
1990,tvSeries,8537,10573586.0,3
1990,tvMovie,7861,1947175.0,2
2000,movie,46489,298496258.0,1
2000,short,31655,1809052.0,3
2000,tvSeries,19559,30436472.0,2
2010,movie,89907,369472382.0,1
2010,short,63894,3197226.0,3
2010,tvSeries,35450,61930636.0,2
2020,movie,26936,60531325.0,1
2020,tvSeries,11681,18174004.0,3
2020,short,11081,594733.0,2
